epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,742.776,0.89516,1.55905,0.29828,0.59424,0.58882,0.57339,0.37386,0.56864,0.81397,0.33044,0.00999184,0.00333061,0.00999184,0.00333061,0.00999184,0.00333061,0.00999184,0.00333061
2,1373.12,0.82201,0.53154,0.17411,0.70829,0.6678,0.70004,0.42675,0.58702,0.66048,0.3457,0.0197939,0.00659797,0.0197939,0.00659797,0.0197939,0.00659797,0.0197939,0.00659797
3,1975.26,0.95048,0.47304,0.1971,0.73772,0.60894,0.63051,0.30728,0.88032,0.6151,0.50583,0.029398,0.00979933,0.029398,0.00979933,0.029398,0.00979933,0.029398,0.00979933
4,2565.26,0.98225,0.46343,0.21445,0.71102,0.62783,0.64228,0.29868,0.8113,0.61157,0.52603,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3161.01,0.93497,0.47546,0.19968,0.76604,0.61379,0.65311,0.27608,0.85557,0.56609,0.59097,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3761.63,0.85596,0.49563,0.18436,0.75263,0.63635,0.66108,0.26452,0.8523,0.58366,0.56617,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4360.27,0.78273,0.50797,0.16581,0.7742,0.67251,0.6918,0.33044,0.79476,0.58665,0.49676,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4955.4,0.74033,0.50661,0.15417,0.76551,0.69732,0.73831,0.35926,0.69301,0.58017,0.48034,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5558.43,0.74917,0.49596,0.15175,0.77283,0.70183,0.73062,0.33997,0.73881,0.58138,0.509,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6152.67,0.75216,0.48833,0.14964,0.78087,0.69514,0.73544,0.38025,0.67884,0.58119,0.44927,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6732.78,0.71881,0.49254,0.14245,0.78312,0.715,0.74921,0.3692,0.66985,0.60265,0.46869,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,7315.79,0.71779,0.48621,0.14195,0.77925,0.70692,0.73875,0.3543,0.72041,0.58595,0.48473,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7914.44,0.71574,0.48386,0.14042,0.77891,0.68007,0.70949,0.33755,0.76264,0.54552,0.49464,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,8516.8,0.69804,0.47909,0.135,0.78605,0.71509,0.75225,0.40807,0.66684,0.56363,0.42217,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,9114.56,0.68237,0.48158,0.13237,0.78527,0.70891,0.73892,0.37967,0.69569,0.56854,0.44645,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,9699.09,0.70051,0.47041,0.13211,0.77812,0.69295,0.73714,0.35821,0.68117,0.58636,0.46618,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,10290,0.68654,0.47194,0.13002,0.77321,0.70859,0.74853,0.40277,0.62886,0.59604,0.42652,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,10888.8,0.68981,0.4671,0.12837,0.78622,0.70398,0.73524,0.37294,0.70559,0.56424,0.47606,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,11481.2,0.6407,0.46589,0.12028,0.78827,0.72275,0.74848,0.3986,0.66336,0.55911,0.46136,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,12064.2,0.66342,0.4649,0.12367,0.77389,0.71441,0.74743,0.38445,0.6792,0.56114,0.44469,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,12651.8,0.70509,0.45537,0.12846,0.76601,0.736,0.75576,0.39538,0.66698,0.55993,0.44302,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,13245.4,0.65426,0.45835,0.12046,0.79992,0.72431,0.76511,0.39875,0.63015,0.60084,0.44831,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,13826.7,0.64143,0.45616,0.11822,0.78911,0.72801,0.75225,0.36656,0.70334,0.5621,0.48141,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,14422.5,0.65909,0.4498,0.11855,0.78379,0.73245,0.74634,0.3841,0.67396,0.55919,0.47424,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,15027,0.66053,0.45227,0.12235,0.81097,0.73491,0.77274,0.39087,0.6465,0.58911,0.46965,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,15873.2,0.64263,0.4464,0.11396,0.79986,0.71199,0.73967,0.33426,0.71683,0.5503,0.51161,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,16457.4,0.63729,0.4408,0.11609,0.80601,0.74048,0.77192,0.36131,0.70237,0.56548,0.50321,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,17054.1,0.64571,0.44356,0.11583,0.78539,0.72335,0.75251,0.3525,0.68948,0.57199,0.50556,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,17882.7,0.68155,0.44512,0.11987,0.7933,0.73881,0.75596,0.34321,0.69142,0.57722,0.5258,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,18487.3,0.61659,0.44336,0.11075,0.80732,0.73009,0.75621,0.35281,0.71082,0.56835,0.51509,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,19304.9,0.6249,0.43649,0.10834,0.80033,0.74462,0.77761,0.40899,0.64998,0.57252,0.44934,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
