epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,473.804,0.36277,2.4514,0.22464,0.91598,0.86409,0.91621,0.65988,0.3045,0.64647,0.41379,0.0099877,0.00332923,0.0099877,0.00332923,0.0099877,0.00332923,0.0099877,0.00332923
2,896.979,0.34979,0.4394,0.18277,0.93057,0.90345,0.94495,0.60779,0.37207,0.62072,0.53458,0.0197898,0.00659661,0.0197898,0.00659661,0.0197898,0.00659661,0.0197898,0.00659661
3,1295.86,0.5021,0.45114,0.21914,0.90711,0.85144,0.87461,0.46495,0.5014,0.58108,0.69617,0.0293939,0.00979798,0.0293939,0.00979798,0.0293939,0.00979798,0.0293939,0.00979798
4,1688.29,0.58842,0.46213,0.25787,0.89999,0.85922,0.89824,0.38221,0.61205,0.7555,0.8794,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2090.78,0.54753,0.46386,0.24127,0.91146,0.89,0.92116,0.43168,0.54673,0.57001,0.79183,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2477.78,0.55121,0.45534,0.23664,0.93207,0.89029,0.93784,0.48768,0.49661,0.59649,0.71162,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2877.53,0.53253,0.4447,0.2323,0.92633,0.88754,0.91913,0.42455,0.55886,0.58152,0.81644,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3269.06,0.50783,0.4416,0.22228,0.92731,0.89615,0.93041,0.49502,0.48307,0.51981,0.71252,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3669.87,0.50436,0.43539,0.22019,0.94041,0.90401,0.9374,0.50778,0.48543,0.51822,0.69648,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4062.44,0.49567,0.43137,0.21409,0.93904,0.88108,0.92901,0.45267,0.53558,0.55496,0.76068,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
