epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,178.69,1.21272,2.20334,1.29731,0.62331,0.53332,0.55724,0.3991,1.17267,1.71987,1.27233,0.00998369,0.0033279,0.00998369,0.0033279,0.00998369,0.0033279,0.00998369,0.0033279
2,336.093,1.24262,1.62351,1.29873,0.60132,0.44325,0.50849,0.34177,1.31348,1.80925,1.41038,0.0197858,0.00659528,0.0197858,0.00659528,0.0197858,0.00659528,0.0197858,0.00659528
3,481.786,1.39302,1.83282,1.39995,0.45779,0.38271,0.35965,0.21236,1.58926,2.50523,1.59578,0.02939,0.00979667,0.02939,0.00979667,0.02939,0.00979667,0.02939,0.00979667
4,618.359,1.44663,1.93209,1.43948,0.53961,0.47478,0.4774,0.31193,1.43826,1.86427,1.50324,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,756.533,1.38591,1.74352,1.39206,0.6413,0.54329,0.58852,0.39958,1.28572,1.56159,1.36264,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,897.081,1.31243,1.60422,1.35074,0.63893,0.55993,0.58569,0.39854,1.27202,1.568,1.35198,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1035.75,1.27618,1.48381,1.32733,0.65072,0.62112,0.64092,0.44705,1.2099,1.3896,1.2875,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1175.38,1.23969,1.40707,1.30226,0.69464,0.63826,0.68305,0.48606,1.15325,1.2945,1.25734,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1312.52,1.22008,1.35207,1.29665,0.72182,0.64085,0.69492,0.49735,1.15155,1.26678,1.2655,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1453.9,1.1903,1.28298,1.27307,0.74284,0.66531,0.71711,0.51252,1.13263,1.19422,1.2503,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1594.32,1.16991,1.23838,1.25829,0.74228,0.65715,0.7133,0.52035,1.08778,1.1255,1.2163,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1732.66,1.15279,1.19832,1.2457,0.76234,0.68102,0.74012,0.53442,1.10644,1.11131,1.22707,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1871.14,1.13546,1.16338,1.23482,0.756,0.70192,0.7533,0.55453,1.07665,1.05758,1.20834,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2011.91,1.12308,1.13791,1.22496,0.76279,0.68557,0.74276,0.54608,1.06125,1.06399,1.18986,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2152.2,1.11782,1.09835,1.2254,0.74659,0.70611,0.74572,0.55292,1.04674,1.06553,1.19295,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2292.08,1.10213,1.07616,1.21578,0.78781,0.70946,0.77035,0.56871,1.05446,1.00752,1.1897,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2431.62,1.08858,1.05332,1.20305,0.76421,0.73608,0.77762,0.58183,1.04674,0.99837,1.18036,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2571.3,1.078,1.0197,1.19569,0.80012,0.71669,0.7823,0.58655,1.02607,0.97345,1.17827,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2711.79,1.06618,0.99767,1.19356,0.76917,0.72877,0.7792,0.59119,1.02594,0.9853,1.17014,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2849.83,1.05889,0.98621,1.19257,0.7925,0.74118,0.78441,0.59045,1.02005,0.95091,1.1735,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2987.07,1.04895,0.96303,1.18204,0.79923,0.75964,0.8082,0.61075,1.01063,0.92524,1.16416,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3121.8,1.04056,0.94946,1.17978,0.80929,0.74003,0.80643,0.60441,1.01216,0.89709,1.17355,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3261.6,1.03296,0.92806,1.17341,0.80022,0.74241,0.80098,0.60589,1.00112,0.93891,1.15917,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3400.09,1.02243,0.91051,1.16265,0.79312,0.74966,0.80732,0.61304,0.99784,0.90894,1.15736,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3539.28,1.0147,0.88627,1.16292,0.81814,0.752,0.80975,0.61376,0.99472,0.90585,1.15541,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3676.29,1.01617,0.88429,1.15879,0.80255,0.74825,0.80655,0.61663,0.99042,0.90868,1.15076,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3811,1.00618,0.87184,1.1553,0.81386,0.7418,0.80084,0.6067,0.99656,0.91611,1.14897,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3944.08,1.00015,0.85658,1.1523,0.83696,0.74362,0.81492,0.62118,0.98215,0.8918,1.1535,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4084.05,0.9937,0.84244,1.15024,0.82623,0.74726,0.81765,0.62022,0.99003,0.88208,1.15093,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4221.08,0.98207,0.82982,1.14683,0.82883,0.75666,0.82122,0.62545,0.97892,0.87764,1.14404,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4362.26,0.97803,0.81994,1.13979,0.81533,0.76277,0.8175,0.62555,0.97439,0.87307,1.15204,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4503.14,0.97479,0.80427,1.13652,0.81823,0.76203,0.8197,0.62662,0.9754,0.86608,1.14399,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4641.66,0.96802,0.79098,1.1325,0.82331,0.74856,0.812,0.6208,0.98158,0.8839,1.14869,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4781.08,0.95748,0.77765,1.12611,0.81204,0.76408,0.81424,0.6257,0.97429,0.86253,1.14654,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4919.52,0.95135,0.76642,1.12164,0.82362,0.76474,0.823,0.63075,0.97254,0.84753,1.14338,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5059.97,0.95445,0.75942,1.11977,0.82707,0.75641,0.81762,0.62917,0.96973,0.85816,1.1449,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5197.77,0.93688,0.73954,1.11238,0.82188,0.7712,0.82613,0.63442,0.96417,0.84932,1.13646,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5338.28,0.93429,0.73599,1.11268,0.83584,0.7688,0.83024,0.64181,0.96176,0.8401,1.14337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5478.53,0.93137,0.72927,1.11016,0.82042,0.78079,0.82897,0.63771,0.96592,0.85034,1.13695,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5614.78,0.91899,0.71262,1.10365,0.83715,0.76108,0.82895,0.63881,0.96238,0.84329,1.13493,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5753.83,0.91673,0.70457,1.10252,0.82575,0.76761,0.8246,0.63826,0.96607,0.84296,1.13923,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5893.39,0.91666,0.69848,1.09952,0.82907,0.7738,0.83173,0.64277,0.96179,0.83871,1.14223,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6032.58,0.90833,0.68636,1.09577,0.81701,0.77502,0.82235,0.63835,0.96214,0.8452,1.14142,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6170.26,0.8966,0.68303,1.09236,0.82572,0.769,0.82479,0.64106,0.95972,0.8462,1.1364,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6307.89,0.896,0.66718,1.08947,0.84008,0.77523,0.83453,0.64993,0.95609,0.82102,1.1382,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6447.08,0.88062,0.66162,1.08126,0.84028,0.77218,0.82971,0.64476,0.95028,0.83831,1.1355,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6583.93,0.88235,0.65569,1.08641,0.84024,0.7685,0.82505,0.63991,0.95591,0.84346,1.13621,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6720.91,0.88296,0.64826,1.07924,0.83861,0.76937,0.83103,0.64474,0.95185,0.83028,1.13207,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6859.2,0.87587,0.64229,1.07734,0.83316,0.77449,0.83032,0.6458,0.95531,0.84028,1.13561,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6995.66,0.8715,0.63566,1.07489,0.83154,0.77866,0.83417,0.64695,0.94812,0.82366,1.13245,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7126.8,0.86223,0.62922,1.07293,0.85192,0.76788,0.83433,0.64686,0.94487,0.82712,1.12924,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7264.89,0.86641,0.62269,1.0765,0.84175,0.77966,0.83311,0.64923,0.94701,0.82614,1.13165,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7403.01,0.85117,0.60897,1.06692,0.84537,0.77313,0.83033,0.64825,0.94796,0.83625,1.13144,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7540.03,0.8489,0.60854,1.06439,0.8212,0.78723,0.82705,0.64523,0.94719,0.83098,1.13618,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7678.69,0.84584,0.59497,1.05984,0.84127,0.78018,0.83446,0.64817,0.95039,0.82349,1.14072,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,7819.03,0.8376,0.5905,1.05466,0.84034,0.77779,0.83439,0.65148,0.95005,0.8284,1.13812,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,7959.35,0.8324,0.58553,1.05368,0.83553,0.78114,0.83415,0.64874,0.95031,0.83916,1.14199,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8097.44,0.8344,0.58018,1.05456,0.83242,0.79088,0.83719,0.65049,0.94929,0.82831,1.14055,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8236.34,0.82382,0.57691,1.05484,0.84311,0.77731,0.83462,0.64943,0.94547,0.8274,1.14026,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8376.56,0.81592,0.56396,1.04857,0.83306,0.7904,0.83119,0.64996,0.94627,0.82713,1.1409,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8514.53,0.81239,0.55827,1.04641,0.85013,0.78052,0.8347,0.64923,0.94884,0.83182,1.14404,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
