epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,124.948,0.87057,1.42087,1.30845,0.84473,0.80967,0.88081,0.66385,0.82852,0.80459,1.30522,0.00997543,0.00332514,0.00997543,0.00332514,0.00997543,0.00332514,0.00997543,0.00332514
2,228.026,0.98677,1.02937,1.37701,0.78797,0.68057,0.76098,0.52659,1.0521,1.12251,1.48705,0.0197777,0.00659256,0.0197777,0.00659256,0.0197777,0.00659256,0.0197777,0.00659256
3,322.168,1.16519,1.29185,1.48264,0.69218,0.57191,0.61944,0.4019,1.28302,1.574,1.76248,0.0293819,0.00979397,0.0293819,0.00979397,0.0293819,0.00979397,0.0293819,0.00979397
4,413.143,1.21463,1.37306,1.50673,0.7733,0.62475,0.72971,0.48768,1.13506,1.29131,1.54566,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,503.143,1.1528,1.23504,1.4658,0.81662,0.76388,0.84349,0.57819,1.04426,1.00703,1.44667,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,594.078,1.08768,1.13115,1.42195,0.85257,0.78072,0.87773,0.6382,0.94133,0.84266,1.33076,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,684.886,1.04562,1.04011,1.38621,0.89062,0.82193,0.90395,0.6657,0.87717,0.72436,1.28073,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,776.321,1.01145,0.96984,1.3719,0.90047,0.85006,0.91944,0.69734,0.83426,0.6383,1.23363,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,865.691,0.98657,0.94388,1.35298,0.90586,0.85091,0.92361,0.70429,0.81087,0.6299,1.21472,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,955.683,0.96131,0.89182,1.33136,0.91018,0.83096,0.92192,0.70359,0.81242,0.6331,1.22237,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1044.87,0.94413,0.84787,1.31772,0.93213,0.85546,0.93134,0.72079,0.78636,0.56017,1.19447,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1137.34,0.92066,0.81979,1.29497,0.9262,0.85582,0.93449,0.72411,0.78618,0.54855,1.19595,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1227.96,0.9114,0.81186,1.29032,0.93412,0.88792,0.9534,0.74135,0.77672,0.50483,1.18973,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1316.94,0.89587,0.77461,1.28603,0.9333,0.86638,0.94804,0.75092,0.74887,0.51563,1.15271,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1406.01,0.88803,0.74015,1.27036,0.91521,0.90307,0.94828,0.75463,0.7233,0.48958,1.14739,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1494.22,0.8713,0.72714,1.26183,0.91884,0.90607,0.95536,0.7565,0.72548,0.48447,1.13976,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
